tile_id,rgb_path,ndvi_path,slope_path,lon,lat,geometry_score,is_candidate
tile_0_0,amazonia_ai/02_tiles/tile_0_0/rgb.png,amazonia_ai/02_tiles/tile_0_0/ndvi.tif,amazonia_ai/02_tiles/tile_0_0/slope.tif,-70.77435,-9.52565,18,True
tile_448_0,amazonia_ai/02_tiles/tile_448_0/rgb.png,amazonia_ai/02_tiles/tile_448_0/ndvi.tif,amazonia_ai/02_tiles/tile_448_0/slope.tif,-70.72955,-9.52565,26,True
tile_896_0,amazonia_ai/02_tiles/tile_896_0/rgb.png,amazonia_ai/02_tiles/tile_896_0/ndvi.tif,amazonia_ai/02_tiles/tile_896_0/slope.tif,-70.68475,-9.52565,1761,True
tile_1344_0,amazonia_ai/02_tiles/tile_1344_0/rgb.png,amazonia_ai/02_tiles/tile_1344_0/ndvi.tif,amazonia_ai/02_tiles/tile_1344_0/slope.tif,-70.63995,-9.52565,1851,True
tile_0_448,amazonia_ai/02_tiles/tile_0_448/rgb.png,amazonia_ai/02_tiles/tile_0_448/ndvi.tif,amazonia_ai/02_tiles/tile_0_448/slope.tif,-70.77435,-9.57045,6,True
tile_448_448,amazonia_ai/02_tiles/tile_448_448/rgb.png,amazonia_ai/02_tiles/tile_448_448/ndvi.tif,amazonia_ai/02_tiles/tile_448_448/slope.tif,-70.72955,-9.57045,2046,True
tile_896_448,amazonia_ai/02_tiles/tile_896_448/rgb.png,amazonia_ai/02_tiles/tile_896_448/ndvi.tif,amazonia_ai/02_tiles/tile_896_448/slope.tif,-70.68475,-9.57045,1643,True
tile_1344_448,amazonia_ai/02_tiles/tile_1344_448/rgb.png,amazonia_ai/02_tiles/tile_1344_448/ndvi.tif,amazonia_ai/02_tiles/tile_1344_448/slope.tif,-70.63995,-9.57045,1904,True
tile_0_896,amazonia_ai/02_tiles/tile_0_896/rgb.png,amazonia_ai/02_tiles/tile_0_896/ndvi.tif,amazonia_ai/02_tiles/tile_0_896/slope.tif,-70.77435,-9.61525,1837,True
tile_448_896,amazonia_ai/02_tiles/tile_448_896/rgb.png,amazonia_ai/02_tiles/tile_448_896/ndvi.tif,amazonia_ai/02_tiles/tile_448_896/slope.tif,-70.72955,-9.61525,1901,True
tile_896_896,amazonia_ai/02_tiles/tile_896_896/rgb.png,amazonia_ai/02_tiles/tile_896_896/ndvi.tif,amazonia_ai/02_tiles/tile_896_896/slope.tif,-70.68475,-9.61525,10,True
tile_1344_896,amazonia_ai/02_tiles/tile_1344_896/rgb.png,amazonia_ai/02_tiles/tile_1344_896/ndvi.tif,amazonia_ai/02_tiles/tile_1344_896/slope.tif,-70.63995,-9.61525,5,True
tile_0_1344,amazonia_ai/02_tiles/tile_0_1344/rgb.png,amazonia_ai/02_tiles/tile_0_1344/ndvi.tif,amazonia_ai/02_tiles/tile_0_1344/slope.tif,-70.77435,-9.66005,1862,True
tile_448_1344,amazonia_ai/02_tiles/tile_448_1344/rgb.png,amazonia_ai/02_tiles/tile_448_1344/ndvi.tif,amazonia_ai/02_tiles/tile_448_1344/slope.tif,-70.72955,-9.66005,1900,True
